Date,Open,High,Low,Close,Adj Close,Volume
2014-04-28,31.864901,31.944500,31.683800,31.785200,22.592215,2908812
2014-04-29,31.806900,31.908300,31.061001,31.147900,22.139235,4674315
2014-04-30,31.140699,31.147900,30.641001,30.930700,21.984854,4781814
2014-05-01,31.140699,31.379700,30.872700,30.959600,22.005396,4693706
2014-05-02,31.111700,31.213100,31.010300,31.176901,22.159845,2047828
2014-05-05,31.430300,31.495501,31.198601,31.321699,22.262766,1978553
2014-05-06,31.495501,31.654900,31.242100,31.372400,22.298803,1448316
2014-05-07,31.162399,31.278299,30.923401,31.061001,22.077469,1838219
2014-05-08,31.155100,31.213100,31.032000,31.090000,22.098082,1630517
2014-05-09,30.814800,31.140699,30.756800,31.039301,22.062044,2387879
2014-05-12,31.213100,31.285500,30.872700,31.032000,22.056856,1530267
2014-05-13,31.285500,31.386900,31.118900,31.292700,22.242153,2174681
2014-05-14,31.220301,31.285500,31.147900,31.256500,22.216425,1510436
2014-05-15,31.075500,31.343399,31.003099,31.329000,22.267958,1774813
2014-05-16,31.430300,31.488300,31.213100,31.292700,22.242153,1407832
2014-05-19,31.104500,31.140699,30.894400,30.901699,21.964241,2038318
2014-05-20,30.851000,31.068300,30.673599,30.923401,21.979666,1329931
2014-05-21,30.756800,31.010300,30.597500,30.952400,22.000278,2300864
2014-05-22,31.140699,31.314501,31.053801,31.299999,22.247343,2290400
2014-05-23,31.321699,31.531700,31.285500,31.379700,22.303993,1600929
2014-05-26,31.488300,31.539000,31.336201,31.539000,22.417219,1450973
2014-05-27,31.539000,31.654900,31.466600,31.517300,22.401796,1458151
2014-05-28,31.517300,31.531700,31.292700,31.329000,22.267958,1797944
2014-05-29,31.329000,31.575199,31.147900,31.524500,22.406914,2546108
2014-05-30,31.611401,31.625900,31.336201,31.401400,22.319414,5253083
2014-06-02,31.379700,31.647600,31.343399,31.524500,22.406914,2309285
2014-06-03,31.502800,31.524500,31.075500,31.126200,22.123812,3901245
2014-06-04,31.162399,31.234800,30.865499,30.952400,22.000278,2132942
2014-06-05,30.952400,30.952400,30.590300,30.706200,21.825285,2561446
2014-06-06,30.612000,30.800301,30.525101,30.720600,21.835518,3083022
2014-06-10,30.851000,30.851000,30.423700,30.431000,21.629679,2429575
2014-06-11,30.416500,30.416500,30.206400,30.286100,21.526688,3008552
2014-06-12,30.090599,30.235399,30.003700,30.134001,21.418579,2682989
2014-06-13,29.989201,30.322300,29.981899,30.271601,21.516382,3000082
2014-06-16,30.228201,30.242701,30.003700,30.155800,21.434072,2724070
2014-06-17,30.039900,30.354900,29.916800,29.945700,21.284739,3350675
2014-06-18,29.895000,30.191999,29.873301,29.880600,21.238464,2937586
2014-06-19,29.938499,30.271601,29.866100,30.264400,21.511261,5306519
2014-06-20,30.054399,30.148500,29.728500,29.873301,21.233276,5665916
2014-06-23,30.083300,30.170200,30.003700,30.097799,21.392847,2440314
2014-06-24,30.032600,30.054399,29.873301,29.981899,21.310469,2014972
2014-06-25,29.844400,29.909500,29.728500,29.829901,21.202431,3178842
2014-06-26,29.851601,30.322300,29.800900,30.315100,21.547298,2926154
2014-06-27,30.423700,30.561300,30.264400,30.300600,21.536991,4932648
2014-06-30,30.438200,30.561300,30.300600,30.300600,21.536991,2686219
2014-07-01,30.416500,30.416500,30.018200,30.068800,21.372236,3886171
2014-07-02,30.452700,30.894400,30.344000,30.894400,21.959053,4746452
2014-07-03,31.039301,31.169600,30.908899,31.039301,22.062044,3202172
2014-07-04,31.140699,31.227600,31.032000,31.097200,22.103201,1811157
2014-07-07,31.271000,31.271000,31.104500,31.147900,22.139235,2047505
2014-07-08,31.271000,31.271000,31.118900,31.155100,22.144350,1396777
2014-07-09,31.104500,31.104500,30.764099,30.872700,21.943632,2228631
2014-07-10,30.966900,30.966900,30.785801,30.865499,21.938509,1416617
2014-07-11,30.764099,31.318100,30.727900,31.111700,22.113504,2605718
2014-07-14,31.213100,31.314501,31.147900,31.213100,22.185575,1268344
2014-07-15,31.357901,31.481001,31.155100,31.234800,22.201004,1420015
2014-07-16,31.423100,31.423100,31.068300,31.162399,22.149542,1869618
2014-07-17,31.444799,31.531700,31.307199,31.350700,22.283381,2335354
2014-07-18,31.104500,31.531700,30.995800,31.481001,22.375994,3089049
2014-07-21,31.481001,31.567900,31.408600,31.517300,22.401796,1481461
2014-07-22,31.575199,31.575199,31.329000,31.408600,22.324533,2311811
2014-07-23,31.502800,31.756201,31.430300,31.611401,22.468679,2255971
2014-07-24,31.647600,31.756201,31.575199,31.669300,22.509834,1814110
2014-07-25,31.539000,31.611401,31.256500,31.343399,22.278191,7617262
2014-07-28,31.256500,31.502800,31.169600,31.292700,22.242153,1394905
2014-07-29,31.176901,31.662100,31.176901,31.539000,22.417219,1720743
2014-07-30,31.575199,31.792400,31.437599,31.611401,22.468679,1984921
2014-07-31,31.756201,31.879400,31.716400,31.879400,22.659168,2943930
2014-08-01,31.481001,31.524500,31.285500,31.372400,22.298803,2857163
2014-08-04,31.220301,31.502800,31.205799,31.394100,22.314228,1202955
2014-08-05,31.372400,31.394100,31.032000,31.111700,22.113504,2437882
2014-08-06,31.024799,31.090000,30.945101,31.090000,22.098082,2055120
2014-08-07,31.198601,31.271000,31.024799,31.147900,22.139235,2460507
2014-08-08,31.097200,31.227600,30.648199,30.735100,21.845827,2485167
2014-08-11,30.800301,30.887199,30.641001,30.706200,21.825285,1857290
2014-08-12,30.727900,31.263800,30.713400,31.184099,22.164961,2815729
2014-08-13,30.930700,31.213100,30.930700,31.213100,22.185575,1568690
2014-08-14,31.379700,31.596901,31.256500,31.502800,22.391489,2763945
2014-08-15,31.596901,31.705500,31.546200,31.546200,22.422338,1552229
2014-08-18,31.749001,31.806900,31.546200,31.727301,22.551060,1250786
2014-08-19,31.864901,31.922800,31.749001,31.864901,22.648861,2633314
2014-08-20,32.154499,33.226398,32.024200,33.067001,23.503288,5940185
2014-08-21,33.016300,33.023602,32.154499,32.277699,22.942270,7081375
2014-08-22,32.451500,32.661499,32.371799,32.371799,23.009155,2918333
2014-08-25,32.284901,32.509399,32.277699,32.350101,22.993732,2005045
2014-08-26,32.444199,32.581799,32.299400,32.299400,22.957695,2231717
2014-08-27,32.545601,32.560101,32.306599,32.415298,23.040075,3293292
2014-08-28,32.393501,32.473202,32.299400,32.415298,23.040075,4076263
2014-08-29,31.502800,31.640400,31.213100,31.365200,23.039999,10761362
2014-09-01,31.611401,31.633101,31.249300,31.357901,23.034637,2117339
2014-09-02,31.285500,31.734501,31.220301,31.669300,23.263384,2452044
2014-09-03,31.669300,31.828699,31.647600,31.719999,23.300627,1716263
2014-09-04,31.828699,31.857599,31.691099,31.828699,23.380472,2666760
2014-09-05,31.864901,32.103901,31.792400,31.850401,23.396418,2282482
2014-09-08,32.009701,32.045898,31.799700,31.980700,23.492126,2875789
2014-09-09,31.966299,32.103901,31.915600,32.060398,23.550674,2522116
2014-09-10,31.864901,32.096600,31.763500,31.995199,23.502781,2969584
2014-09-11,32.103901,32.125599,31.691099,31.749001,23.321932,2677521
2014-09-12,31.864901,31.864901,31.524500,31.683800,23.274035,2159250
2014-09-15,31.502800,31.539000,31.249300,31.285500,22.981455,2876806
2014-09-16,31.285500,31.299999,31.046499,31.155100,22.885666,2912684
2014-09-17,31.068300,31.292700,31.039301,31.213100,22.928270,2775719
2014-09-18,31.140699,31.213100,30.785801,31.039301,22.800602,3377669
2014-09-19,31.140699,31.299999,31.075500,31.104500,22.848497,2898759
2014-09-22,31.104500,31.205799,30.843700,30.887199,22.688875,2181819
2014-09-23,31.010300,31.263800,30.800301,31.249300,22.954865,2348477
2014-09-24,31.147900,31.198601,30.916201,31.090000,22.837847,2173873
2014-09-25,31.140699,31.169600,30.865499,31.133400,22.869726,2977057
2014-09-26,30.966900,31.068300,30.800301,30.952400,22.736767,4006084
2014-09-29,30.778601,30.851000,30.496099,30.568600,22.454840,2246253
2014-09-30,30.423700,30.561300,30.344000,30.532301,22.428177,3118552
2014-10-01,30.126801,30.684401,30.083300,30.655500,22.518677,2756052
2014-10-02,30.503401,30.691700,30.394699,30.474400,22.385643,2042125
2014-10-03,30.344000,30.735100,30.336800,30.698900,22.550556,1911471
